time	V(q)	V(ql)	V(qn)	V(qt)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999960041972e-12	0.000000e+00	8.035560e-11	2.511112e-17	2.511112e-17
1.999999992008394e-11	5.022223e-18	1.607541e-10	6.697370e-17	6.697370e-17
3.999999984016789e-11	3.683500e-17	3.216369e-10	2.210850e-16	2.210850e-16
7.999999968033578e-11	1.574273e-16	6.433599e-10	8.242235e-16	8.242235e-16
9.369142819705613e-08	2.065157e-10	7.549298e-07	1.099163e-09	1.099163e-09
1.873028563944319e-07	8.266443e-10	1.512163e-06	4.409407e-09	4.409407e-09
2.809142845918077e-07	1.860386e-09	2.272343e-06	9.930734e-09	9.930734e-09
3.745257127891835e-07	3.307741e-09	3.035469e-06	1.766314e-08	1.766314e-08
4.681371409865593e-07	5.168709e-09	3.801542e-06	2.760663e-08	2.760663e-08
5.617485691839351e-07	7.443290e-09	4.570562e-06	3.976121e-08	3.976121e-08
6.553599973813107e-07	1.013148e-08	5.342528e-06	5.412686e-08	5.412686e-08
1.310719994762621e-06	4.438719e-08	1.081588e-05	2.067190e-07	2.067190e-07
2.310719994762621e-06	1.762595e-07	1.936799e-05	5.915737e-07	5.915737e-07
3.310719994762621e-06	4.593722e-07	2.816715e-05	1.163821e-06	1.163821e-06
6.310719994762620e-06	3.363280e-06	5.622126e-05	4.126524e-06	4.126524e-06
1.145357713761976e-05	1.176764e-05	1.093467e-04	1.298296e-05	1.298296e-05
1.659643428047690e-05	2.663908e-05	1.711539e-04	2.835593e-05	2.835593e-05
2.173929142333405e-05	4.797762e-05	2.416430e-04	5.024543e-05	5.024543e-05
2.688214856619119e-05	7.578324e-05	3.208138e-04	7.865148e-05	7.865148e-05
3.202500570904833e-05	1.100560e-04	4.086664e-04	1.135741e-04	1.135741e-04
3.716786285190547e-05	1.507958e-04	5.052009e-04	1.550132e-04	1.550132e-04
4.231071999476260e-05	1.980027e-04	6.104171e-04	2.029688e-04	2.029688e-04
5.016786285190544e-05	2.823850e-04	7.874930e-04	2.884909e-04	2.884908e-04
5.802500570904828e-05	3.889347e-04	9.942245e-04	3.962723e-04	3.962723e-04
6.588214856619111e-05	5.176518e-04	1.230612e-03	5.263132e-04	5.263133e-04
7.373929142333394e-05	6.685362e-04	1.496654e-03	6.786136e-04	6.786137e-04
8.159643428047678e-05	8.415881e-04	1.792353e-03	8.531734e-04	8.531737e-04
8.945357713761962e-05	1.036807e-03	2.117706e-03	1.049993e-03	1.049993e-03
9.731071999476245e-05	1.254194e-03	2.472716e-03	1.269071e-03	1.269072e-03
1.065964342804767e-04	1.541903e-03	2.933474e-03	1.558908e-03	1.558908e-03
1.158821485661910e-04	1.880675e-03	3.462545e-03	1.900020e-03	1.900021e-03
1.251678628519052e-04	2.270510e-03	4.059927e-03	2.292407e-03	2.292410e-03
1.344535771376195e-04	2.711408e-03	4.725621e-03	2.736069e-03	2.736076e-03
1.437392914233338e-04	3.203369e-03	5.459627e-03	3.231005e-03	3.231018e-03
