time	V(out)	V(outr)
0.000000000000000e+00	-1.698885e-15	-1.698885e-15
9.999999960041972e-13	-1.698885e-15	-1.698885e-15
1.999999992008394e-12	-1.698885e-15	-1.698885e-15
1.599999993606716e-11	-1.698885e-15	-1.698885e-15
3.199999987213431e-11	-1.698885e-15	-1.698885e-15
6.399999974426862e-11	-1.698885e-15	-1.698885e-15
1.061773038627569e-10	-1.698884e-15	-1.698884e-15
1.505041339380038e-10	-1.698884e-15	-1.698884e-15
1.913302151256478e-10	-1.698884e-15	-1.698884e-15
2.396674504609984e-10	-1.698884e-15	-1.698884e-15
3.292854245553135e-07	-3.157000e-16	-3.157000e-16
6.583311816601660e-07	3.767963e-15	3.767963e-15
9.873769387650184e-07	1.055211e-14	1.055211e-14
1.316422695869871e-06	2.003673e-14	2.003673e-14
1.645468452974723e-06	3.222183e-14	3.222183e-14
1.974514210079576e-06	4.710741e-14	4.710741e-14
2.303559967184427e-06	6.469347e-14	6.469347e-14
3.732131395755861e-06	1.724737e-13	1.724737e-13
5.160702824327294e-06	3.312743e-13	3.312743e-13
6.589274252898726e-06	5.410953e-13	5.410953e-13
8.017845681470159e-06	8.019367e-13	8.019367e-13
9.446417110041592e-06	1.113799e-12	1.113799e-12
1.087498853861303e-05	1.476681e-12	1.476681e-12
1.230355996718446e-05	1.890583e-12	1.890583e-12
1.268927425289874e-05	2.011085e-12	2.011085e-12
1.307498853861303e-05	2.135305e-12	2.135305e-12
1.346070282432732e-05	2.263245e-12	2.263245e-12
1.384641711004161e-05	2.394904e-12	2.394904e-12
1.423213139575590e-05	2.530283e-12	2.530283e-12
1.461784568147019e-05	2.669381e-12	2.669381e-12
1.500355996718448e-05	2.812199e-12	2.812199e-12
1.543213139575590e-05	2.975247e-12	2.975247e-12
1.586070282432733e-05	3.142887e-12	3.142887e-12
1.628927425289875e-05	3.315119e-12	3.315119e-12
1.671784568147018e-05	3.491943e-12	3.491943e-12
1.714641711004160e-05	3.673359e-12	3.673359e-12
1.757498853861303e-05	3.859366e-12	3.859366e-12
1.800355996718445e-05	4.049966e-12	4.049966e-12
1.828876568615810e-05	4.179361e-12	4.179361e-12
1.857397140513175e-05	4.310783e-12	4.310783e-12
1.885917712410540e-05	4.444232e-12	4.444232e-12
1.914438284307905e-05	4.579709e-12	4.579709e-12
1.942958856205270e-05	4.717212e-12	4.717212e-12
1.971479428102635e-05	4.856743e-12	4.856743e-12
2.000000000000000e-05	4.998301e-12	4.998301e-12
2.001000000000000e-05	5.003301e-12	5.003301e-12
2.003000000000000e-05	5.013301e-12	5.013301e-12
3.143285714285738e-05	1.071473e-11	1.071473e-11
4.283571428571474e-05	1.641616e-11	1.641616e-11
5.423857142857212e-05	2.211759e-11	2.211759e-11
6.564142857142949e-05	2.781902e-11	2.781902e-11
7.704428571428685e-05	3.352044e-11	3.352044e-11
8.844714285714423e-05	3.922187e-11	3.922187e-11
9.985000000000159e-05	4.492330e-11	4.492330e-11
9.995000000000159e-05	4.497330e-11	4.497330e-11
1.145642857142877e-04	5.228044e-11	5.228044e-11
1.291785714285737e-04	5.958759e-11	5.958759e-11
1.437928571428598e-04	6.689473e-11	6.689473e-11
1.584071428571459e-04	7.420188e-11	7.420188e-11
1.730214285714320e-04	8.150902e-11	8.150902e-11
1.876357142857180e-04	8.881616e-11	8.881616e-11
2.022500000000041e-04	9.612330e-11	9.612330e-11
2.023500000000041e-04	9.617330e-11	9.617330e-11
2.169642857142902e-04	1.034804e-10	1.034804e-10
2.315785714285762e-04	1.107876e-10	1.107876e-10
2.461928571428623e-04	1.180947e-10	1.180947e-10
2.608071428571484e-04	1.254019e-10	1.254019e-10
2.754214285714344e-04	1.327090e-10	1.327090e-10
2.900357142857205e-04	1.400162e-10	1.400162e-10
3.046500000000066e-04	1.473233e-10	1.473233e-10
3.047500000000066e-04	1.473733e-10	1.473733e-10
3.193642857142927e-04	1.546804e-10	1.546804e-10
3.339785714285787e-04	1.619876e-10	1.619876e-10
3.485928571428648e-04	1.692947e-10	1.692947e-10
3.632071428571509e-04	1.766019e-10	1.766019e-10
3.778214285714369e-04	1.839090e-10	1.839090e-10
3.924357142857230e-04	1.912162e-10	1.912162e-10
4.070500000000091e-04	1.985233e-10	1.985233e-10
4.071500000000091e-04	1.985733e-10	1.985733e-10
4.897500000000103e-04	2.946803e-10	4.042941e-10
4.925642857142945e-04	-2.452386e-08	-2.235441e-08
