time	V(s)	V(s1)	V(s2)	V(s3)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999824516700e-14	3.688289e-12	3.688289e-12	3.688289e-12	3.688289e-12
1.999999964903340e-13	7.377795e-12	7.377795e-12	7.377795e-12	7.377795e-12
1.599999971922672e-12	5.921088e-11	5.921088e-11	5.921088e-11	5.921088e-11
3.199999943845344e-12	1.188895e-10	1.188895e-10	1.188895e-10	1.188895e-10
6.399999887690688e-12	2.401707e-10	2.401707e-10	2.401707e-10	2.401707e-10
1.279999977538138e-11	4.907040e-10	4.907040e-10	4.907040e-10	4.907040e-10
2.559999955076275e-11	1.012036e-09	1.012036e-09	1.012036e-09	1.012036e-09
5.119999910152551e-11	2.085361e-09	2.085361e-09	2.085361e-09	2.085361e-09
1.023999982030510e-10	4.259008e-09	4.259008e-09	4.259008e-09	4.259008e-09
2.047999964061020e-10	8.618676e-09	8.618676e-09	8.618676e-09	8.618676e-09
1.449051428212039e-07	6.172875e-06	6.172895e-06	6.172884e-06	6.172871e-06
2.896054856460018e-07	1.231753e-05	1.231761e-05	1.231756e-05	1.231751e-05
4.343058284707996e-07	1.844257e-05	1.844275e-05	1.844265e-05	1.844254e-05
5.790061712955975e-07	2.454801e-05	2.454834e-05	2.454815e-05	2.454796e-05
7.237065141203953e-07	3.063385e-05	3.063436e-05	3.063407e-05	3.063377e-05
8.684068569451932e-07	3.670008e-05	3.670081e-05	3.670039e-05	3.669997e-05
1.013107199769991e-06	4.274671e-05	4.274770e-05	4.274713e-05	4.274656e-05
1.064535771198562e-06	4.488500e-05	4.488610e-05	4.488547e-05	4.488484e-05
1.115964342627133e-06	4.701747e-05	4.701868e-05	4.701799e-05	4.701729e-05
1.167392914055704e-06	4.914411e-05	4.914543e-05	4.914468e-05	4.914391e-05
1.218821485484275e-06	5.126492e-05	5.126636e-05	5.126554e-05	5.126471e-05
1.270250056912846e-06	5.337990e-05	5.338146e-05	5.338057e-05	5.337967e-05
1.321678628341416e-06	5.548905e-05	5.549074e-05	5.548977e-05	5.548880e-05
1.373107199769987e-06	5.759237e-05	5.759419e-05	5.759315e-05	5.759210e-05
1.403107199769987e-06	5.881650e-05	5.881840e-05	5.881731e-05	5.881621e-05
1.840250056912840e-06	7.667952e-05	7.668276e-05	7.668091e-05	7.667902e-05
2.277392914055693e-06	9.472450e-05	9.472946e-05	9.472663e-05	9.472375e-05
2.714535771198547e-06	1.129515e-04	1.129585e-04	1.129545e-04	1.129504e-04
3.151678628341400e-06	1.313604e-04	1.313699e-04	1.313645e-04	1.313590e-04
3.588821485484253e-06	1.499513e-04	1.499636e-04	1.499566e-04	1.499495e-04
4.025964342627106e-06	1.687242e-04	1.687397e-04	1.687308e-04	1.687219e-04
4.463107199769958e-06	1.876791e-04	1.876981e-04	1.876872e-04	1.876762e-04
4.911678628341382e-06	2.073443e-04	2.073673e-04	2.073542e-04	2.073408e-04
5.360250056912807e-06	2.274100e-04	2.274375e-04	2.274218e-04	2.274059e-04
5.808821485484231e-06	2.478763e-04	2.479086e-04	2.478901e-04	2.478714e-04
6.257392914055656e-06	2.687430e-04	2.687806e-04	2.687591e-04	2.687373e-04
6.705964342627080e-06	2.900102e-04	2.900536e-04	2.900288e-04	2.900036e-04
